Duration,rainIntensityIncrement,rainIntensityIncrements,vwcIncrement,controlledLo,controlledHi,controlledRate,surfaceName,runoffToName,cdaName,etTableName,productName,capacity
5,0.0007,8,5,0,70,0.05,two,three,[None],sunny,purpleRoof,0.5

month,minutes,amc,vwc,vwcGroupBy5,vwcRow,capacitySpare,rainIntensity,intensityColumn,rain,uncontrolled,controlled,input,efficiency,absorb,runoff,retPre,hourColumn,monthRow,etRate,etMax,et,ret
1,50,0.07245,14,10,2,0.42755,0.0035,5,0.0175,0,0,0.0175,47,0.008225000000000001,0.009275,0.080675,0,6,0.0,0.0,0,0.080675
1,55,0.080675,16,15,3,0.419325,0.0035,5,0.0175,0,0,0.0175,56,0.009800000000000001,0.0077,0.090475,0,6,0.0,0.0,0,0.090475
1,60,0.090475,18,15,3,0.40952500000000003,0.0069,7,0.0345,0,0,0.0345,45,0.015525000000000002,0.018975,0.106,0,6,0.0,0.0,0,0.106
1,65,0.106,21,20,4,0.394,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.12325,0,6,0.0,0.0,0,0.12325
1,70,0.12325,24,20,4,0.37675000000000003,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.1405,0,6,0.0,0.0,0,0.1405
1,75,0.1405,28,25,5,0.3595,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.15775,0,6,0.0,0.0,0,0.15775
1,80,0.15775,31,30,6,0.34225,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.175,0,6,0.0,0.0,0,0.175
1,85,0.175,35,35,7,0.325,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.19224999999999998,0,6,0.0,0.0,0,0.19224999999999998
1,90,0.19224999999999998,38,35,7,0.30775,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.20949999999999996,0,6,0.0,0.0,0,0.20949999999999996
1,95,0.20949999999999996,41,40,8,0.29050000000000004,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.22674999999999995,0,6,0.0,0.0,0,0.22674999999999995
1,100,0.22674999999999995,45,45,9,0.27325000000000005,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.24399999999999994,0,6,0.0,0.0,0,0.24399999999999994
1,105,0.24399999999999994,48,45,9,0.25600000000000006,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.2612499999999999,0,6,0.0,0.0,0,0.2612499999999999
1,110,0.2612499999999999,52,50,10,0.23875000000000007,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.2784999999999999,0,6,0.0,0.0,0,0.2784999999999999
1,115,0.2784999999999999,55,55,11,0.22150000000000009,0.0069,7,0.0345,0,0,0.0345,50,0.01725,0.01725,0.2957499999999999,0,6,0.0,0.0,0,0.2957499999999999
